year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,18,INDIANA,All,All,undefined,12889
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,19,IOWA,All,All,undefined,13251
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,20,KANSAS,All,All,undefined,10264
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,21,KENTUCKY,All,All,undefined,12479
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,22,LOUISIANA,All,All,undefined,12215
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,23,MAINE,All,All,undefined,11459
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,24,MARYLAND,All,All,undefined,15293
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,25,MASSACHUSETTS,All,All,undefined,14807
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,26,MICHIGAN,All,All,undefined,12917
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,27,MINNESOTA,All,All,undefined,15327
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,28,MISSISSIPPI,All,All,undefined,13916
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,29,MISSOURI,All,All,undefined,12069
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,30,MONTANA,All,All,undefined,15843
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,31,NEBRASKA,All,All,undefined,13988
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,32,NEVADA,All,All,undefined,15313
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,33,NEW HAMPSHIRE,All,All,undefined,14125
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,34,NEW JERSEY,All,All,undefined,17047
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,35,NEW MEXICO,All,All,undefined,14372
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,36,NEW YORK,All,All,undefined,16479
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,37,NORTH CAROLINA,All,All,undefined,14355
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,38,NORTH DAKOTA,All,All,undefined,11828
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,39,OHIO,All,All,undefined,12806
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,40,OKLAHOMA,All,All,undefined,12236
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,41,OREGON,All,All,undefined,13756
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,42,PENNSYLVANIA,All,All,undefined,12727
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,44,RHODE ISLAND,All,All,undefined,9352
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,45,SOUTH CAROLINA,All,All,undefined,14453
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,46,SOUTH DAKOTA,All,All,undefined,15553
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,47,TENNESSEE,All,All,undefined,11840
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,48,TEXAS,All,All,undefined,13806
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,49,UTAH,All,All,undefined,15797
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,50,VERMONT,All,All,undefined,14650
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,51,VIRGINIA,All,All,undefined,13194
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,53,WASHINGTON,All,All,undefined,14997
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,54,WEST VIRGINIA,All,All,undefined,13775
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,55,WISCONSIN,All,All,undefined,13878
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,56,WYOMING,All,All,undefined,18266
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,66,GUAM,All,All,undefined,12853
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,69,NORTHERN MARIANAS,All,All,undefined,9115
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,72,PUERTO RICO,All,All,undefined,10271
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,78,VIRGIN ISLANDS,All,All,undefined,18037
