year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,41,OREGON,All,All,undefined,4121
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,42,PENNSYLVANIA,All,All,undefined,3477
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,44,RHODE ISLAND,All,All,undefined,3916
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,45,SOUTH CAROLINA,All,All,undefined,3228
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,46,SOUTH DAKOTA,All,All,undefined,3566
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,47,TENNESSEE,All,All,undefined,3181
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,48,TEXAS,All,All,undefined,3397
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,49,UTAH,All,All,undefined,3260
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,50,VERMONT,All,All,undefined,5242
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,51,VIRGINIA,All,All,undefined,3478
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,53,WASHINGTON,All,All,undefined,4232
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,54,WEST VIRGINIA,All,All,undefined,3294
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,55,WISCONSIN,All,All,undefined,3799
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,56,WYOMING,All,All,undefined,4367
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,60,AMERICAN SAMOA,All,All,undefined,1858
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,66,GUAM,All,All,undefined,2543
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,69,NORTHERN MARIANAS,All,All,undefined,2272
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,72,PUERTO RICO,All,All,undefined,1335
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,78,VIRGIN ISLANDS,All,All,undefined,4667
