year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,27,MINNESOTA,All,All,undefined,10533
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,28,MISSISSIPPI,All,All,undefined,8756
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,29,MISSOURI,All,All,undefined,9166
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,30,MONTANA,All,All,undefined,9712
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,31,NEBRASKA,All,All,undefined,9380
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,32,NEVADA,All,All,undefined,11358
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,33,NEW HAMPSHIRE,All,All,undefined,10240
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,34,NEW JERSEY,All,All,undefined,11012
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,35,NEW MEXICO,All,All,undefined,10361
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,36,NEW YORK,All,All,undefined,13068
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,37,NORTH CAROLINA,All,All,undefined,9915
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,38,NORTH DAKOTA,All,All,undefined,9581
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,39,OHIO,All,All,undefined,9303
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,40,OKLAHOMA,All,All,undefined,9032
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,41,OREGON,All,All,undefined,11502
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,42,PENNSYLVANIA,All,All,undefined,9833
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,44,RHODE ISLAND,All,All,undefined,10663
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,45,SOUTH CAROLINA,All,All,undefined,9787
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,46,SOUTH DAKOTA,All,All,undefined,9486
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,47,TENNESSEE,All,All,undefined,8504
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,48,TEXAS,All,All,undefined,10077
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,49,UTAH,All,All,undefined,9876
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,50,VERMONT,All,All,undefined,11686
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,51,VIRGINIA,All,All,undefined,9467
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,53,WASHINGTON,All,All,undefined,11476
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,54,WEST VIRGINIA,All,All,undefined,8949
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,55,WISCONSIN,All,All,undefined,9939
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,56,WYOMING,All,All,undefined,11502
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,69,NORTHERN MARIANAS,All,All,undefined,6072
2013,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,72,PUERTO RICO,All,All,undefined,5876
