State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
LA,Louisiana,1/1/2019,Y,P,N,"31,532",,N/A,,"31,532",,"19,131",,"1,357",,"20,488",,752408,,"1,592,641",,37.669,-84.6514,"(37.669, -84.6514)",1458967,,133674,
AR,Arkansas,1/1/2019,Y,P,N,"22,763",,N/A,,"22,763",,"9,516",,382,,"9,898",,369819,,"790,753",,34.9513,-92.3809,"(34.9513, -92.3809)",760071,,30682,
KY,Kentucky,1/1/2019,Y,P,N,"11,377",,,,"11,377",,"43,322",,"2,481",,"45,803",,554209,,"1,314,498",,38.5111,-96.8005,"(38.5111, -96.8005)",1221140,,93358,
NJ,New Jersey,1/1/2019,Y,P,N,"54,916",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"54,916",Does Not Include All Non-MAGI Applications,"18,347",Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,"7,583",Does Not Include All CHIP Determinations Made At Application,"25,930",Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,809553,,"1,703,032",,41.1289,-98.2883,"(41.1289, -98.2883)",1492517,,210515,
OR,Oregon,1/1/2019,Y,P,N,"13,850",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"13,850",Does Not Include All Non-MAGI Applications,"26,344","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","3,300",,"29,644",Does Not Include All Non-MAGI Determinations Made At Application,410266,,"971,345",,40.3736,-82.7755,"(40.3736, -82.7755)",846069,,125276,
ME,Maine,1/1/2019,Y,P,N,"9,522",,N/A,,"9,522",,"9,420",,531,,"9,951",,105654,,"226,429",,39.0724,-76.7902,"(39.0724, -76.7902)",215148,,11281,
VA,Virginia,1/1/2019,Y,P,N,"37,416",Includes Renewals and/or Redeterminations,N/A,,"37,416",Includes Renewals and/or Redeterminations,"30,202",Includes Renewals and/or Redeterminations,906,Includes Renewals and/or Redeterminations,"31,108",Includes Renewals and/or Redeterminations,712386,,"1,237,262",,35.7449,-86.7489,"(35.7449, -86.7489)",1095021,,142241,
AL,Alabama,1/1/2019,N,P,N,"20,505",,N/A,,"20,505",,"14,957",,"2,510",,"17,467",,635384,,"899,349",,32.799,-86.8073,"(32.799, -86.8073)",730349,,169000,
DC,District of Columbia,1/1/2019,Y,P,N,"1,809",Includes SBM data,2036,,"3,845",Includes Renewals and/or Redeterminations,"3,916",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,916",,,,"253,744",,41.5834,-72.7622,"(41.5834, -72.7622)",237337,,16407,
ND,North Dakota,1/1/2019,Y,P,N,"2,187",,N/A,,"2,187",,"2,198",,64,,"2,262",,43113,,"91,060",,46.9048,-110.3261,"(46.9048, -110.3261)",88885,,2175,
TX,Texas,1/1/2019,N,P,N,"131,871",,N/A,,"131,871",,"104,462",,"19,161",,"123,623",,3381115,,"4,277,703",,33.8191,-80.9066,"(33.8191, -80.9066)",3631572,,646131,
HI,Hawaii,1/1/2019,Y,P,N,"5,248",,N/A,,"5,248",,"6,290",,452,,"6,742",,140206,,"330,244",,32.9866,-83.6487,"(32.9866, -83.6487)",304970,,25274,
WV,West Virginia,1/1/2019,Y,P,N,"28,185",,N/A,,"28,185",,"16,810",,976,,"17,786",,217998,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"520,219",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",486589,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33630,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NC,North Carolina,1/1/2019,N,P,N,"23,960",,N/A,,"23,960",,"35,059",,"4,786",,"39,845",,1182107,,"1,754,020",,32.7673,-89.6812,"(32.7673, -89.6812)",1495121,,258899,
IL,Illinois,1/1/2019,Y,P,N,"64,477",,N/A,,"64,477",,"28,560",,"9,407",,"37,967",,1339931,,"2,817,556",,44.2394,-114.5103,"(44.2394, -114.5103)",2564139,,253417,
NE,Nebraska,1/1/2019,N,P,N,"6,957",,N/A,,"6,957",,"5,751",,"1,016",,"6,767",,161612,,"242,385",,35.6411,-79.8431,"(35.6411, -79.8431)",207740,,34645,
PA,Pennsylvania,1/1/2019,Y,P,N,"83,047",Includes Renewals and/or Redeterminations,N/A,,"83,047",Includes Renewals and/or Redeterminations,"77,015",Includes Renewals and/or Redeterminations,"11,680",,"88,695",Includes Renewals and/or Redeterminations,1386574,,"2,938,407",,35.5376,-96.9247,"(35.5376, -96.9247)",2757505,,180902,
SD,South Dakota,1/1/2019,N,P,N,"2,801",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,801",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,691","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,691","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79118,,"111,178",,18.2766,-66.335,"(18.2766, -66.335)",95120,,16058,
KS,Kansas,1/1/2019,N,P,N,,,N/A,,,,,,,,,,269536,,"390,420",,39.8647,-86.2604,"(39.8647, -86.2604)",334248,,56172,
NY,New York,1/1/2019,Y,P,N,,,766142,,"766,142",,"119,692",,"6,444",,"126,136",,2447317,Includes Retroactive Enrollments,"6,138,367",Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5569916,Includes Retroactive Enrollments,568451,
OK,Oklahoma,1/1/2019,N,P,N,"53,653",Includes Renewals and/or Redeterminations,N/A,,"53,653",Includes Renewals and/or Redeterminations,"48,783",Includes Renewals and/or Redeterminations,"9,442",,"58,225",Includes Renewals and/or Redeterminations,511758,,"730,160",,42.1497,-74.9384,"(42.1497, -74.9384)",608692,,121468,
AK,Alaska,1/1/2019,Y,P,N,"3,472",Includes Renewals and/or Redeterminations,N/A,,"3,472",Includes Renewals and/or Redeterminations,"3,156",Includes Renewals and/or Redeterminations; Includes CHIP,158,,"3,314",Includes Renewals and/or Redeterminations,95259,,"214,541",,61.385,-152.2683,"(61.385, -152.2683)",199656,,14885,
GA,Georgia,1/1/2019,N,P,N,"45,292",,N/A,,"45,292",,"30,826",,"1,186",,"32,012",,1230227,,"1,798,195",,27.8333,-81.717,"(27.8333, -81.717)",1588271,,209924,
NH,New Hampshire,1/1/2019,Y,P,N,"9,613",,N/A,,"9,613",,"5,878",,590,,"6,468",,90177,,"181,293",,47.5362,-99.793,"(47.5362, -99.793)",166181,,15112,
RI,Rhode Island,1/1/2019,Y,P,N,"2,348","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,348","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","3,597",,527,,"4,124",,122501,,"308,844",,44.5672,-122.1269,"(44.5672, -122.1269)",275859,,32985,
MT,Montana,1/1/2019,Y,P,N,"3,745",,N/A,,"3,745",,"4,523",,571,,"5,094",,126904,,"277,633",,14.8058,145.5505,"(14.8058, 145.5505)",248733,,28900,
WI,Wisconsin,1/1/2019,N,P,N,"23,830",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"23,830",Does Not Include All Applications for Limited-Benefit Programs,"20,365","Count is of Households, Not Individuals","1,589",,"21,954",,501013,,"1,021,451",,37.768,-78.2057,"(37.768, -78.2057)",950778,,70673,
IN,Indiana,1/1/2019,Y,P,N,"98,151",,N/A,,"98,151",,"41,697",,"3,343",,"45,040",,786053,,"1,443,002",,40.3363,-89.0022,"(40.3363, -89.0022)",1331698,,111304,
MO,Missouri,1/1/2019,N,P,N,"21,700",,N/A,,"21,700",,"9,664","Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,"9,664","Includes Renewals and/or Redeterminations; Count is of households, not individuals",563364,,"887,297",,45.7326,-93.9196,"(45.7326, -93.9196)",855629,,31668,Does Not Include All CHIP enrollees
VT,Vermont,1/1/2019,Y,P,N,"3,230",,1197,,"4,427",Includes Renewals and/or Redeterminations,"3,923",Includes Renewals and/or Redeterminations,110,,"4,033",,62470,,"157,518",,31.106,-97.6475,"(31.106, -97.6475)",152931,,4587,
NM,New Mexico,1/1/2019,Y,P,Y,"13,009",,N/A,,"13,009",,"19,621",,"1,491",,"21,112",,330507,Includes Limited-Benefit Enrollees,"729,051",Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",691836,Includes Limited-Benefit Enrollees,37215,
MA,Massachusetts,1/1/2019,Y,P,N,"19,372",,3549,,"22,921",,,,,,,,652393,,"1,531,871",,31.1801,-91.8749,"(31.1801, -91.8749)",1355197,,176674,
MI,Michigan,1/1/2019,Y,P,N,"50,653",,N/A,,"50,653",,"46,378",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,745",,"48,123",,938268,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,309,960",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2248618,Does Not Include All Full-Benefit Medicaid enrollees,61342,
AZ,Arizona,1/1/2019,Y,P,N,"112,351",,N/A,,"112,351",,,,,,,,,,"1,701,450",,14.2417,-170.7197,"(14.2417, -170.7197)",1597610,,103840,
UT,Utah,1/1/2019,N,P,N,"20,625","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"20,625","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","35,550",Includes CHIP,,,"35,550",,192317,,"284,808",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",241719,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,43089,
SC,South Carolina,1/1/2019,N,P,N,"25,718",,N/A,,"25,718",,"6,839",Does Not Include All Medicaid Determinations Made At Application,285,Does Not Include All CHIP Determinations Made At Application,"7,124",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,645564,,"1,028,077",,40.5773,-77.264,"(40.5773, -77.264)",939171,,88906,
OH,Ohio,1/1/2019,Y,P,N,"73,453",Includes Renewals and/or Redeterminations,N/A,,"73,453",Includes Renewals and/or Redeterminations,"59,212",Includes CHIP; Includes Renewals and/or Redeterminations,"3,316",,"62,528",Includes Renewals and/or Redeterminations,1181717,,"2,650,556",,38.4199,-117.1219,"(38.4199, -117.1219)",2444359,,206197,
DE,Delaware,1/1/2019,Y,P,N,"3,059",,N/A,,"3,059",,"5,078",,701,,"5,779",,106450,,"232,614",,38.8964,-77.0262,"(38.8964, -77.0262)",221080,,11534,
FL,Florida,1/1/2019,N,P,N,"333,583",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"333,583",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"182,942",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"24,840",,"207,782",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2467917,,"3,679,990",,39.3498,-75.5148,"(39.3498, -75.5148)",3450613,,229377,
IA,Iowa,1/1/2019,Y,P,N,"14,666",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"14,666",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,287",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,287",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,331233,,"683,137",,21.1098,-157.5311,"(21.1098, -157.5311)",611840,,71297,
MS,Mississippi,1/1/2019,N,P,N,"20,402",,N/A,,"20,402",,"13,800",,951,,"14,751",,415518,,"611,749",,38.4623,-92.302,"(38.4623, -92.302)",536319,,75430,
